map,idea,idea_num,user,x,y,x_real,y_real,x_example,y_example
bag_of_words,Skydive,1,1,9,4,-1.2619154,-5.179987,-1.2610846,-5.1792216
bag_of_words,Skydive,1,2,10.86,2.72,-1.2619154,-5.179988,-1.2610846,-5.1792217
bag_of_words,Skydive,1,3,10,2,-1.2619154,-5.179989,-1.2610846,-5.1792218
bag_of_words,Skydive,1,4,10.86,2.72,-1.2619154,-5.17999,-1.2610846,-5.1792219
bag_of_words,Skydive,1,5,10,2,-1.2619154,-5.179991,-1.2610846,-5.179222
bag_of_words,Skydive,1,6,0,-5,-1.2619154,-5.179992,-1.2610846,-5.1792221
bag_of_words,Skydive,1,7,0,-7,-1.2619154,-5.179993,-1.2610846,-5.1792222
bag_of_words,Skydive,1,8,9,2,-1.2619154,-5.179994,-1.2610846,-5.1792223
bag_of_words,Skydive,1,9,10,3,-1.2619154,-5.179994,-1.2610846,-5.1792224
bag_of_words,Skydive,1,10,10.86,2.72,-1.2619154,-5.179994,-1.2610846,-5.1792225
bag_of_words,Skydive,1,11,10.867848,2.7206588,-1.2619154,-5.179994,-1.2610846,-5.1792226
bag_of_words,Skydive,1,12,7.5,6,-1.2619154,-5.179994,-1.2610846,-5.1792227
bag_of_words,Visit Your Childhood Home,2,1,-1,-5,-2.7081676,-5.4741087,-2.431932,-5.317236
bag_of_words,Visit Your Childhood Home,2,2,-2.43,-5.31,-2.7081676,-5.4741088,-2.431932,-5.317237
bag_of_words,Visit Your Childhood Home,2,3,-2,-5,-2.7081676,-5.4741089,-2.431932,-5.317238
bag_of_words,Visit Your Childhood Home,2,4,-2.5,2,-2.7081676,-5.474109,-2.431932,-5.317239
bag_of_words,Visit Your Childhood Home,2,5,-2,-3,-2.7081676,-5.4741091,-2.431932,-5.31724
bag_of_words,Visit Your Childhood Home,2,6,0,-5,-2.7081676,-5.4741092,-2.431932,-5.317241
bag_of_words,Visit Your Childhood Home,2,7,-1,-4,-2.7081676,-5.4741093,-2.431932,-5.317242
bag_of_words,Visit Your Childhood Home,2,8,0,-2,-2.7081676,-5.4741094,-2.431932,-5.317243
bag_of_words,Visit Your Childhood Home,2,9,-3,-5,-2.7081676,-5.4741095,-2.431932,-5.317244
bag_of_words,Visit Your Childhood Home,2,10,-2.4,-5,-2.7081676,-5.4741096,-2.431932,-5.317245
bag_of_words,Visit Your Childhood Home,2,11,-2.431932,-5.317236,-2.7081676,-5.4741097,-2.431932,-5.317246
bag_of_words,Visit Your Childhood Home,2,12,-1,-5,-2.7081676,-5.4741098,-2.431932,-5.317247
bag_of_words,Go horseback riding,3,1,0,-5,10.034729,4.721045,10.867848,2.7206588
bag_of_words,Go horseback riding,3,2,9.89,6.07,10.034729,4.721045,10.867848,2.7206589
bag_of_words,Go horseback riding,3,3,-1,-5,10.034729,4.721045,10.867848,2.720659
bag_of_words,Go horseback riding,3,4,3,3,10.034729,4.721045,10.867848,2.7206591
bag_of_words,Go horseback riding,3,5,-1,-5,10.034729,4.721045,10.867848,2.7206592
bag_of_words,Go horseback riding,3,6,0,-5,10.034729,4.721045,10.867848,2.7206593
bag_of_words,Go horseback riding,3,7,12,4,10.034729,4.721045,10.867848,2.7206594
bag_of_words,Go horseback riding,3,8,-1,-5,10.034729,4.721045,10.867848,2.7206595
bag_of_words,Go horseback riding,3,9,8,5,10.034729,4.721045,10.867848,2.7206596
bag_of_words,Go horseback riding,3,10,-2.4,-5,10.034729,4.721045,10.867848,2.7206597
bag_of_words,Go horseback riding,3,11,9.89369,6.0780625,10.034729,4.721045,10.867848,2.7206598
bag_of_words,Go horseback riding,3,12,-1,5,10.034729,4.721045,10.867848,2.7206599
bag_of_words,Go on a walk through a park,4,1,-3,4,9.728516,5.2274923,9.89369,6.0780625
bag_of_words,Go on a walk through a park,4,2,-2.27,4.31,9.728516,5.2274923,9.89369,6.0780626
bag_of_words,Go on a walk through a park,4,3,9,6,9.728516,5.2274924,9.89369,6.0780627
bag_of_words,Go on a walk through a park,4,4,-2,1,9.728516,5.2274925,9.89369,6.0780628
bag_of_words,Go on a walk through a park,4,5,-1,-6,9.728516,5.2274926,9.89369,6.0780629
bag_of_words,Go on a walk through a park,4,6,0,-5,9.728516,5.2274927,9.89369,6.078063
bag_of_words,Go on a walk through a park,4,7,8,7,9.728516,5.2274928,9.89369,6.0780631
bag_of_words,Go on a walk through a park,4,8,10,6,9.728516,5.2274929,9.89369,6.0780632
bag_of_words,Go on a walk through a park,4,9,-2,-5,9.728516,5.227493,9.89369,6.0780633
